schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date
1.0,RESEARCH_PAPER,Rules or Character? Scaling Laws for AI Safety Design,"Satoshi Takahashi, Nobuji Kouno, Masaaki Komatsu, Ryuji Hamamoto",http://arxiv.org/abs/2608.13345v1,,0,2026-08-13T15:15:09Z
1.0,RESEARCH_PAPER,LongEarth-R1: Benchmarking and Aligning Vision-Language Models for Long-Horizon Earth Observation Reasoning,"Yupan Ding, Jing Xiao, Zhenyuan Zhang, Chaofeng Chen, Liang Liao, Gui-Song Xia, Mi Wang",http://arxiv.org/abs/2608.13344v1,,0,2026-08-13T15:14:59Z
1.0,RESEARCH_PAPER,AmalthAI: An Open-Source Computer Vision Platform for Cultural Heritage,"Christos Chatzisavvas, Stelios Alvanos, Efstratios Politis, Panagiotis Rigas, Thomas Pappas, Ioannis Giannoukos, Nikolaos Mitianoudis, Agata Ulanowska, Katarzyna Żebrowska, Nazarij Buławka, Christina Margariti, George Pavlidis, Chairi Kiourt, Anestis Koutsoudis, Vassilis Katsouros, George Ioannakis",http://arxiv.org/abs/2608.13343v1,https://github.com/TEXTaiLES/AmalthAI,1,2026-08-13T15:14:48Z
1.0,RESEARCH_PAPER,Simulation-to-real transfer learning for infrared spectroscopic chemical sensing and analysis from molecules to complex samples,"Yusen Tan, Yixuan Chen, Zheng Fang, Pan Liu, Yifan Li, Qinyu Guo, Zhedong Lin, Yuqiang Li, Xiangxiang Zeng, Tong Wang, Jun Xia",http://arxiv.org/abs/2608.13341v1,,0,2026-08-13T15:11:50Z
1.0,RESEARCH_PAPER,Where You Measure Decides What You Measure: Position Selection in Ablation-Based SAE Evaluation,Valentin Noël,http://arxiv.org/abs/2608.13337v1,https://github.com/vcnoel/sae-artifac,0,2026-08-13T15:06:56Z
1.0,RESEARCH_PAPER,Neural Quadratic Forms: A Unified Minimal Model for Sudden Learning and Scaling Laws,"Liu Ziyin, Yizhou Xu, Tomaso Poggio, Isaac Chuang",http://arxiv.org/abs/2608.13335v1,,0,2026-08-13T15:05:43Z
1.0,RESEARCH_PAPER,RippleMem: From Isolated Retrieval to Associative Recollection for Long-Term Agent Memory,"Jingbo Ji, Lingyi Li, Xilong Cheng, Yuhao Zhou, Wenji Zhang, Yuting Tan, Yunxiao Qin",http://arxiv.org/abs/2608.13334v1,,0,2026-08-13T15:05:01Z
1.0,RESEARCH_PAPER,LLM-Guided Graph Generation for Structure-Based Local Improvement Methods,"Hai Xia, Vaidyanathan Peruvemba Ramaswamy, Stefan Szeider",http://arxiv.org/abs/2608.13333v1,,0,2026-08-13T15:01:03Z
1.0,RESEARCH_PAPER,Training AI Scientists to Replicate Research,"Damon Falck, Samer Sabri, Anja Surina, Thom Foster, Anya Sims, Sam Devlin, Dylan Rogers, Tantum Collins, Kaloyan Aleksiev, Louis Kirsch, Edward Hughes",http://arxiv.org/abs/2608.13331v1,,0,2026-08-13T14:59:27Z
1.0,RESEARCH_PAPER,A Probe Direction Is a Property of Its Prompt,Valentin Noël,http://arxiv.org/abs/2608.13329v1,https://github.com/vcnoel/probe-direction,0,2026-08-13T14:57:37Z
1.0,RESEARCH_PAPER,It's How You Ask: Gender-Associated Linguistic Bias in LLMs,"Katherine Van Koevering, Anjalie Field",http://arxiv.org/abs/2608.13328v1,,0,2026-08-13T14:54:23Z
1.0,RESEARCH_PAPER,Beyond Local Accuracy: A Protocol-Level Identifiability Audit for Controlled LLM Reasoning Evaluation,"Junhao Luo, Ning Huang, Ziqi Sha, Wenxuan Tang, Wei Deng",http://arxiv.org/abs/2608.13326v1,,0,2026-08-13T14:49:47Z
1.0,RESEARCH_PAPER,StateBridge: Training-free Hidden-state Alignment for Latent Communication in LLM Multi-Agent Systems,"Yanwen Peng, Delvin Ce Zhang, Xi Wang, Nikolaos Aletras",http://arxiv.org/abs/2608.13317v1,,0,2026-08-13T14:40:59Z
1.0,RESEARCH_PAPER,Foundation models for movement data: Are they ready for prime-time?,"Alexander Bräuer, Benjamin Cauchi, Nils Strodthoff",http://arxiv.org/abs/2608.13316v1,https://github.com/AI4HealthUOL/movement-fm-benchmarkin,0,2026-08-13T14:39:53Z
1.0,RESEARCH_PAPER,"Keep, Customize, or Exit: Default Design and Token Pricing in LLM Reasoning Services","Ahmet Bugra Gundogan, Yigit Turkmen, Melih Bastopcu",http://arxiv.org/abs/2608.13315v1,,0,2026-08-13T14:39:48Z
1.0,RESEARCH_PAPER,How Good are Foundation Models in Longitudinal MRI Disease Progression Reasoning?,"Wafa Al Ghallabi, Ritesh Thawkar, Sara Ghaboura, Omkar Thawakar, Numan Saeed, Dana Al Nuaimi, Ajnas Alkatheeri, Salman Khan, Fahad Shahbaz Khan",http://arxiv.org/abs/2608.13309v1,https://github.com/wafaAlghallabi/Time-Aware-MRI,0,2026-08-13T14:35:20Z
